groupID,Issue Discussions<3,Issue Discussions<4,Issue Participant<2,Issue Participant<3
11,0.625,0.875,0.8333333333333334,1.0
10,0.7272727272727273,0.9090909090909091,0.7878787878787878,0.9696969696969697
13,0.7567567567567568,0.9459459459459459,0.7837837837837838,0.972972972972973
12,0.7804878048780488,0.9024390243902439,0.8292682926829268,0.9512195121951219
14,0.5666666666666667,0.8333333333333334,0.8,0.9666666666666667
1,0.84375,0.875,0.90625,1.0
3,0.2777777777777778,0.4166666666666667,0.3055555555555556,0.6666666666666666
2,0.7058823529411765,0.8823529411764706,0.8235294117647058,1.0
5,1.0,1.0,1.0,1.0
4,0.9375,0.96875,0.96875,1.0
7,0.3235294117647059,0.4852941176470588,0.4852941176470588,0.7647058823529411
6,0.6379310344827587,0.8620689655172413,0.7241379310344828,0.9827586206896551
9,0.7073170731707317,0.9512195121951219,0.8780487804878049,1.0
8,0.6461538461538462,0.7692307692307693,0.8153846153846154,0.9230769230769231
