groupID,Issue Discussions<3,Issue Discussions<4,Issue Participant<2,Issue Participant<3,SilentUser Num
11,0.5882352941176471,0.8823529411764706,0.8235294117647058,1.0,0.25
10,0.6666666666666666,0.875,0.75,0.9583333333333334,0.25
13,0.7941176470588235,0.9705882352941176,0.8235294117647058,1.0,0.25
12,0.7241379310344828,0.896551724137931,0.7931034482758621,0.9310344827586207,0.0
14,0.5357142857142857,0.8214285714285714,0.7857142857142857,0.9642857142857143,0.0
1,0.7333333333333333,0.8,0.8,1.0,0.0
3,0.2777777777777778,0.3333333333333333,0.2777777777777778,0.6666666666666666,0.0
2,0.6666666666666666,0.8666666666666667,0.8,1.0,0.25
5,1.0,1.0,1.0,1.0,0.25
4,0.9491525423728814,0.9830508474576272,0.9830508474576272,1.0,0.0
7,0.2702702702702703,0.5405405405405406,0.5135135135135135,0.8648648648648649,0.25
6,0.4857142857142857,0.8,0.6285714285714286,1.0,0.0
9,0.7058823529411765,0.9411764705882353,0.9117647058823529,1.0,0.25
8,0.627906976744186,0.6976744186046512,0.7441860465116279,0.9069767441860465,0.0
